token                              over                                     scheme   ratio floor  verdict
accent.ink.fill                    react-pane                               dark      9.27   3.0  pass
accent.ink.fill                    react-hover                              dark      7.82   3.0  pass
accent.ink.fill                    watch                                    dark     10.54   3.0  pass
accent.ink.on-fill                 accent.ink.fill                          dark      9.90   4.5  pass
accent.oxblood.fg                  apple-row                                dark      7.22   4.5  pass
accent.oxblood.fg                  apple-form                               dark      5.91   4.5  pass
accent.oxblood.fg                  apple-grouped                            dark      7.22   4.5  pass
accent.oxblood.fg                  apple-sidebar                            dark      4.81   4.5  pass
accent.oxblood.fg                  android-surface                          dark      7.27   4.5  pass
accent.oxblood.fg                  react-bg                                 dark      8.11   4.5  pass
accent.oxblood.fg                  react-pane                               dark      7.83   4.5  pass
accent.oxblood.fg                  react-hover                              dark      6.61   4.5  pass
accent.oxblood.fg                  watch                                    dark      8.91   4.5  pass
accent.oxblood.fill                apple-row                                dark      7.22   3.0  pass
accent.oxblood.fill                apple-form                               dark      5.91   3.0  pass
accent.oxblood.fill                apple-grouped                            dark      7.22   3.0  pass
accent.oxblood.fill                apple-sidebar                            dark      4.81   3.0  pass
accent.oxblood.fill                android-surface                          dark      7.27   3.0  pass
accent.oxblood.fill                react-bg                                 dark      8.11   3.0  pass
accent.oxblood.fill                react-pane                               dark      7.83   3.0  pass
accent.oxblood.fill                react-hover                              dark      6.61   3.0  pass
accent.oxblood.fill                watch                                    dark      8.91   3.0  pass
accent.oxblood.on-fill             accent.oxblood.fill                      dark      8.36   4.5  pass
accent.azure.fg                    apple-row                                dark      8.55   4.5  pass
accent.azure.fg                    apple-form                               dark      7.00   4.5  pass
accent.azure.fg                    apple-grouped                            dark      8.55   4.5  pass
accent.azure.fg                    apple-sidebar                            dark      5.70   4.5  pass
accent.azure.fg                    android-surface                          dark      8.61   4.5  pass
accent.azure.fg                    react-bg                                 dark      9.61   4.5  pass
accent.azure.fg                    react-pane                               dark      9.28   4.5  pass
accent.azure.fg                    react-hover                              dark      7.83   4.5  pass
accent.azure.fg                    watch                                    dark     10.55   4.5  pass
accent.azure.fill                  apple-row                                dark      8.55   3.0  pass
accent.azure.fill                  apple-form                               dark      7.00   3.0  pass
accent.azure.fill                  apple-grouped                            dark      8.55   3.0  pass
accent.azure.fill                  apple-sidebar                            dark      5.70   3.0  pass
accent.azure.fill                  android-surface                          dark      8.61   3.0  pass
accent.azure.fill                  react-bg                                 dark      9.61   3.0  pass
accent.azure.fill                  react-pane                               dark      9.28   3.0  pass
accent.azure.fill                  react-hover                              dark      7.83   3.0  pass
accent.azure.fill                  watch                                    dark     10.55   3.0  pass
accent.azure.on-fill               accent.azure.fill                        dark      9.90   4.5  pass
accent.amber.fg                    apple-row                                dark      9.53   4.5  pass
accent.amber.fg                    apple-form                               dark      7.80   4.5  pass
accent.amber.fg                    apple-grouped                            dark      9.53   4.5  pass
